Date,Bay Bridge,Other Bridges,BART,Golden Gate
Jan-19,3913767,7538500,395860,1565042
Feb-19,3587902,6910031,407339,1430668
Mar-19,4058925,8017445,409516,1674526
Apr-19,3976731,7920998,414411,1666297
May-19,4040558,8201831,412165,1740947
Jun-19,4006902,8202155,413525,1714051
Jul-19,4063748,8377614,401465,1716684
Aug-19,4113916,8549843,410854,1754550
Sep-19,3948426,7959496,426758,1678846
Oct-19,4047327,8136759,420289,1712433
Nov-19,3847809,7614328,411183,1551740
Dec-19,3882964,7551545,376552,1544040
Jan-20,3878683,7568435,388922,1542196
Feb-20,3722539,7343547,404553,1500405
Mar-20,2882649,5491765,166577,966319
Apr-20,1996243,2617992,25142,510576
May-20,2673380,4745633,29878,770451
Jun-20,3036424,5856837,40994,987324
Jul-20,3294706,6290371,45637,1078655
Aug-20,3382756,6260897,46021,1119346
Sep-20,3282056,6111347,48838,1046347
Oct-20,3504554,5533549,53255,1144440
Nov-20,3192647,5887519,52197,1049531
Dec-20,3111694,5737554,45893,973226
Jan-21,3041330,5521839,43012,965695
Feb-21,2989816,5599047,47665,984248
Mar-21,3532498,6559287,51595,1177590
Apr-21,3522492,6620209,57886,1209439
May-21,3671838,7062323,64934,1335478
Jun-21,3673837,7126052,75963,1285537
Jul-21,3803940,7357246,83491,1400583
Aug-21,3737917,7171602,92402,1386250
Sep-21,3618241,6941161,103177,NULL
